Match No.,Team 1,Team 2,Toss won by,First Batting/Bowling,1st Innings Score,2nd innings Score,Winning Team,Won By,Stadium,Session,Man of the Match,Age,Belongs to,Nationality,Capped/Uncapped,MoM Bowling Fig,MoM Batting Fig,,,,
36,RCB,SRH,SRH,Bowling,68/10,72/1,SRH,9 Wickets,Brabourne,E,Marco Jansen,22,Winning Team,SA,Capped,4/0/25/3,,,,,
37,LSG,MI,MI,Bowling,168/6,132/8,LSG,36 Runs,Wankhede,E,KL Rahul,30,Winning Team,IND,Capped,,103(62),,,,
38,PBKS,CSK,CSK,Bowling,187/4,176/6,PBKS,11 Runs,Wankhede,E,Shikhar Dhawan,36,Winning Team,IND,Capped,,88(59),,,,
39,RR,RCB,RCB,Bowling,144/8,115/10,RR,29 Runs,Maharashtra Cricket Association Statium,E,Riyan Parag,20,Winning Team,IND,Uncapped,,56(31),,,,
40,SRH,GT,GT,Bowling,195/6,199/5,GT,5 Wickets  ,Wankhede,E,Umran Malik,22,Loosing Team,IND,Uncapped,4/0/25/5,,,,,
41,KKR,DC,DC,Bowling,146/9,150/6,DC,4 Wickets  ,Wankhede,E,Kuldeep Yadav,27,Winning Team,IND,Capped,3/0/14/4,,,,,
42,LSG,PBKS,PBKS,Bowling,153/8,133/8,LSG,20 Runs,Maharashtra Cricket Association Statium,E,Krunal Pandya,31,Winning Team,IND,Capped,4/1/11/2,7(7),,,,
43,RCB,GT,RCB,Batting,170/6,174/4,GT,6 Wickets,Brabourne,A,Rahul Tewatia,29,Winning Team,IND,Uncapped,,43(25),,,,
44,RR,MI,MI,Bowling,158/6,161/5,MI,5 Wickets  ,Dr. DY Patil Sports Academy,E,Suryakumar Yadav,31,Winning Team,IND,Capped,,51(39),,,,
45,LSG,DC,LSG,Batting,195/3,189/7,LSG,6 Runs,Wankhede,A,Mohsin Khan,24,Winning Team,IND,Uncapped,4/0/16/4,,,,,
46,CSK,SRH,SRH,Bowling,202/2,189/6,CSK,13 Runs,Maharashtra Cricket Association Statium,E,Ruturaj Gaikwad,25,Winning Team,IND,Capped,,99(57),,,,
47,RR,KKR,KKR,Bowling,152/5,158/3,KKR,7 Wickets,Wankhede,E,Rinku Singh,24,Winning Team,IND,Uncapped,,42(23),,,,
48,GT,PBKS,GT,Batting,143/8,145/2,PBKS,8 Wickets,Dr. DY Patil Sports Academy,E,Kagiso Rabada,27,Winning Team,SA,Capped,4/0/33/4,,,,,
49,RCB,CSK,CSK,Bowling,173/8,160/8,RCB,13 Runs,Maharashtra Cricket Association Statium,E,Harshal Patel,31,Winning Team,IND,Capped,4/0/35/3,,,,,
50,DC,SRH,SRH,Bowling,207/3,186/8,DC,21 Runs,Brabourne,E,David Warner,35,Winning Team,AUS,Capped,,92(58),,,,
51,MI,GT,GT,Bowling,177/6,172/5,MI,5 Runs,Brabourne,E,Tim David,26,Winning Team,SNG,Capped,,44(21),,,,
52,PBKS,RR,PBKS,Batting,189/5,190/4,RR,6 Wickets,Wankhede,A,Yashasvi Jaiswal,20,Winning Team,IND,Uncapped,,68(41),,,,
53,LSG,KKR,KKR,Bowling,176/7,101/10,LSG,75 Runs,Maharashtra Cricket Association Statium,E,Avesh Khan,25,Winning Team,IND,Uncapped,3/1/19/3,,,,,
54,RCB,SRH,RCB,Batting,192/3,125/10,RCB,67 Runs,Wankhede,A,Wanindu Hasaranga,24,Winning Team,SL,Capped,4/1/18/5,,,,,
55,CSK,DC,DC,Bowling,208/6,117/10,CSK,91 Runs,Dr. DY Patil Sports Academy,E,Devon Conway,31,Winning Team,NZ,Capped,,87(49),,,,
56,KKR,MI,MI,Bowling,165/9,113/10,KKR,52 Runs,Dr. DY Patil Sports Academy,E,Jasprit Bumrah,28,Loosing Team,IND,Capped,4/1/10/5,,,,,
57,GT,LSG,GT,Batting,144/4,82/10,GT,62 Runs,Maharashtra Cricket Association Statium,E,Shubman Gill,22,Winning Team,IND,Capped,,63(49),,,,
58,RR,DC,DC,Bowling,160/6,161/2,DC,8 Wickets,Dr. DY Patil Sports Academy,E,Mitchell Marsh,30,Winning Team,AUS,Capped,3/0/25/2,89(62),,,,
59,CSK,MI,MI,Bowling,97/10,103/5,MI,5 Wickets  ,Wankhede,E,Daniel Sams,29,Winning Team,AUS,Capped,4/0/16/3,1(6),,,,
60,PBKS,RCB,RCB,Bowling,209/9,155/9,PBKS,54 Runs,Brabourne,E,Jonny Bairstow,32,Winning Team,ENG,Capped,,66(29),,,,
61,KKR,SRH,KKR,Batting,177/6,123/8,KKR,54 Runs,Maharashtra Cricket Association Statium,E,Andre Russell,34,Winning Team,WI,Capped,4/0/22/3,49(28),,,,
62,CSK,GT,CSK,Batting,133/5,137/3,GT,7 Wickets,Wankhede,A,Wriddhiman Saha,37,Winning Team,IND,Capped,,67(57),,,,
63,RR,LSG,RR,Batting,178/6,154/8,RR,24 Runs,Brabourne,E,Trent Boult,32,Winning Team,NZ,Capped,4/0/18/2,17(9),,,,
64,DC,PBKS,PBKS,Bowling,159/7,142/9,DC,17 Runs,Dr. DY Patil Sports Academy,E,Shardul Thakur,36,Winning Team,IND,Capped,4/0/36/4,3(4),,,,
65,SRH,MI,MI,Bowling,193/6,190/7,SRH,3 Runs,Wankhede,E,Rahul Tripathi,31,Winning Team,IND,Uncapped,,76(44),,,,
66,LSG,KKR,LSG,Batting,210/0,208/8,LSG,2 Runs,Dr. DY Patil Sports Academy,E,Quinton de Kock,29,Winning Team,SA,Capped,,140(70),,,,
67,GT,RCB,GT,Batting,168/5,170/2,RCB,8 Wickets,Wankhede,E,Virat Kohli,33,Winning Team,IND,Capped,,73(54),,,,
68,CSK,RR,CSK,Batting,150/6,151/5,RR,5 Wickets  ,Brabourne,E,Ravichandran Ashwin,35,Winning Team,IND,Capped,4/0/28/1,40(23),,,,
69,DC,MI,MI,Bowling,159/7,160/5,MI,5 Wickets  ,Wankhede,E,Jasprit Bumrah,28,Winning Team,IND,Capped,4/0/25/3,,,,,
70,SRH,PBKS,SRH,Batting,157/8,160/5,PBKS,5 Wickets  ,Wankhede,E,Harpreet Brar,26,Winning Team,IND,Uncapped,4/0/26/3,,,,,
71,RR,GT,GT,Bowling,188/6,191/3,GT,7 Wickets,Eden Gardens,E,David Miller,33,Winning Team,SA,Capped,,68(38),,,,
72,RCB,LSG,LSG,Bowling,207/4,193/6,RCB,14 Runs,Eden Gardens,E,Rajat Patidar,29,Winning Team,IND,Uncapped,,112(54),,,,
73,RCB,RR,RR,Bowling,157/8,161/3,RR,7 Wickets,Narendra Modi Stadum,E,Jos Buttler,31,Winning Team,ENG,Capped,,106(60),,,,
74,RR,GT,RR,Batting,130/9,133/3,GT,7 Wickets,Narendra Modi Stadum,E,Hardik Pandya,28,Winning Team,IND,Capped,4/0/17/3,34(30),,,,
